image,caption
1022454428_b6b660a67b.jpg,two children are sitting on the grass.
102351840_323e3de834.jpg,two people are in the water.
1028205764_7e8df9a2ea.jpg,a woman is sitting on a boat.
103195344_5d2dc613a3.jpg,a man is sitting on a wooden staircase.
1042590306_95dea0916c.jpg,a woman with a white shirt and a woman is sitting on the sidewalk.
105342180_4d4a40b47f.jpg,a woman with a blue shirt and blue shirt is in the water.
1056249424_ef2a2e041c.jpg,two boys play in the water.
1075867198_27ca2e7efe.jpg,a man wearing a blue shirt and a white shirt and a black shirt and white shirt and white shirt and white shirt
1075881101_d55c46bece.jpg,a man wearing a white shirt and white shirt is sitting on the floor.
1079274291_9aaf896cc1.jpg,two children are sitting on a couch.
1093737381_b313cd49ff.jpg,a woman is sitting on the sidewalk.
1094462889_f9966dafa6.jpg,a dog is running through the snow.
1095980313_3c94799968.jpg,a young woman is jumping on the beach.
109671650_f7bbc297fa.jpg,a boy is climbing a rock.
1104133405_c04a00707f.jpg,a boy with a blue shirt and jeans is running on the grass.
1112212364_0c48235fc2.jpg,a little boy is sitting on a stone.
1115679311_245eff2f4b.jpg,a man is lying on the beach.
1129704496_4a61441f2c.jpg,a brown dog runs through the water.
1141739219_2c47195e4c.jpg,a group of people are sitting on the sidewalk.
116409198_0fe0c94f3b.jpg,a man is sitting on the snow.
1174629344_a2e1a2bdbf.jpg,a group of people walking on the street.
1191338263_a4fa073154.jpg,a woman is sitting on a bench.
1193116658_c0161c35b5.jpg,a woman with a pink shirt and a woman is walking on the street.
119534510_d52b3781a3.jpg,a man is sitting on a bench.
1213336750_2269b51397.jpg,a man wearing a blue shirt and jeans is walking on the sidewalk.
1215334959_b1970965f7.jpg,a group of people sitting on the sidewalk.
121971540_0a986ee176.jpg,a man and a woman walk through the water.
1222322358_225067636e.jpg,a little boy is playing in a park.
124195430_d14028660f.jpg,a brown dog is jumping on the beach.
1248940539_46d33ed487.jpg,a boy and a boy are sitting on the beach.
1271210445_7f7ecf3791.jpg,a group of people are sitting on a table.
12830823_87d2654e31.jpg,a group of people are in the water.
1287475186_2dee85f1a5.jpg,a boy is swimming in the water.
1287931016_fb015e2e10.jpg,two dogs play in the snow.
1287982439_6578006e22.jpg,a brown dog runs through the water.
129599450_cab4e77343.jpg,a man is walking on a trail.
1313961775_824b87d155.jpg,a girl is swimming in the water.
1322323208_c7ecb742c6.jpg,two children are sitting on the beach.
1329832826_432538d331.jpg,a man is sitting on the street.
1346051107_9cdc14e070.jpg,a man is sitting on the floor.
1348947380_14f0fc1237.jpg,a man is sitting on the beach.
1348957576_c4a78eb974.jpg,a man is sitting on the floor.
1355703632_5683a4b6fb.jpg,a boy is playing with a ball.
136639119_6040b00946.jpg,a man is climbing a mountain.
1390268323_2c8204e91c.jpg,two children are sitting on the sidewalk.
1394396709_65040d97ab.jpg,a dog is lying in the water.
1400424834_1c76e700c4.jpg,a woman wearing a black blouse is walking on the sidewalk.
140430106_2978fda105.jpg,a dog runs through the beach.
1414820925_3504c394e1.jpg,a man wearing a blue shirt is jumping on the floor.
141755290_4b954529f3.jpg,a woman is sitting on a table.
1418503947_953d373632.jpg,a man wearing a white shirt and white shirt is sitting on the floor.
